road_id,road_index,lat,lon
br-277,0,-25.12469,-53.8159443
br-277,1,-25.124612663121823,-53.81573411849477
br-277,2,-25.12453532624365,-53.815523936989536
br-277,3,-25.12445798936547,-53.815313755484304
br-277,4,-25.124380652487293,-53.81510357397907
br-277,5,-25.12430331560912,-53.81489339247384
br-277,6,-25.12422597873094,-53.8146832109686
br-277,7,-25.124148641852766,-53.81447302946337
br-277,8,-25.12407130497459,-53.81426284795814
br-277,9,-25.12399396809641,-53.81405266645291
br-277,10,-25.123916631218236,-53.81384248494768
br-277,11,-25.12383929434006,-53.813632303442446
br-277,12,-25.12376195746188,-53.813422121937215
br-277,13,-25.123684620583706,-53.813211940431984
br-277,14,-25.123607283705528,-53.81300175892675
br-277,15,-25.12352994682735,-53.81279157742152
br-277,16,-25.123452609949176,-53.81258139591628
br-277,17,-25.123375273070998,-53.81237121441105
br-277,18,-25.123297936192824,-53.81216103290582
br-277,19,-25.123220599314646,-53.81195085140059
br-277,20,-25.123143262436468,-53.81174066989536
br-277,21,-25.123065925558294,-53.811530488390126
br-277,22,-25.122988588680116,-53.811320306884895
br-277,23,-25.122911251801938,-53.81111012537966
br-277,24,-25.122834417386404,-53.81089976029555
br-277,25,-25.12275804271743,-53.810689227239216
br-277,26,-25.122681668048454,-53.81047869418289
br-277,27,-25.12260529337948,-53.81026816112656
br-277,28,-25.122528918710508,-53.81005762807023
br-277,29,-25.122452544041533,-53.80984709501391
br-277,30,-25.122376169372558,-53.809636561957575
br-277,31,-25.122299794703583,-53.80942602890125
br-277,32,-25.12222342003461,-53.809215495844924
br-277,33,-25.122147045365637,-53.80900496278859
br-277,34,-25.12207067069666,-53.80879442973227
br-277,35,-25.121994296027687,-53.808583896675934
br-277,36,-25.121917921358712,-53.80837336361961
br-277,37,-25.12184154668974,-53.80816283056328
br-277,38,-25.121765172020766,-53.80795229750695
br-277,39,-25.12168879735179,-53.807741764450626
br-277,40,-25.121612422682816,-53.8075312313943
br-277,41,-25.121536048013844,-53.80732069833797
br-277,42,-25.12145967334487,-53.80711016528164
br-277,43,-25.121383298675894,-53.80689963222531
br-277,44,-25.12130692400692,-53.806689099168985
br-277,45,-25.121230549337948,-53.80647856611266
br-277,46,-25.121154174668973,-53.80626803305633
