road_id,order,lat,lon
br-376,64,-25.940874841286174,-48.909593013729136
br-376,65,-25.94107350610008,-48.90954544830207
br-376,66,-25.94126927231616,-48.90948661683799
br-376,67,-25.9414624294411,-48.909419572387826
br-376,68,-25.94165315904565,-48.909345895592956
br-376,69,-25.941841058682666,-48.909265533733965
br-376,70,-25.94202360537649,-48.90917351967618
br-376,71,-25.94220211185738,-48.909073819927436
br-376,72,-25.942377743377513,-48.908969129770036
br-376,73,-25.942552026732365,-48.908862199790335
br-376,74,-25.942726310087217,-48.908755269810634
br-376,75,-25.942900593442065,-48.90864833983094
br-376,76,-25.943074876796917,-48.90854140985124
br-376,77,-25.943249306584256,-48.90843472582901
br-376,78,-25.94342637600048,-48.908332475498085
br-376,79,-25.943605067066294,-48.908233112931704
br-376,80,-25.943784540463803,-48.9081351435083
br-376,81,-25.943966206563058,-48.90804130559702
br-376,82,-25.944149948728437,-48.90795167662483
br-376,83,-25.944335964291998,-48.907866839870096
br-376,84,-25.944524673289553,-48.90778818931067
br-376,85,-25.94471525471334,-48.9077141121263
br-376,86,-25.944906168777354,-48.90764090109485
br-376,87,-25.945098348153074,-48.907571227139265
br-376,88,-25.945292861704544,-48.90750819392079
br-376,89,-25.945488065538992,-48.90744737799167
br-376,90,-25.945683985417077,-48.907388862098884
br-376,91,-25.945881684599303,-48.907336732311855
br-376,92,-25.946079669907352,-48.907285649595984
br-376,93,-25.946279376697802,-48.90724176444834
br-376,94,-25.946479083488256,-48.90719787930069
br-376,95,-25.946678790278707,-48.90715399415304
br-376,96,-25.946878497069157,-48.90711010900539
br-376,97,-25.947077996951165,-48.907065321014876
br-376,98,-25.947276883942862,-48.907017858683815
br-376,99,-25.9474750272186,-48.90696745977938
br-376,100,-25.947672530153625,-48.90691453248025
br-376,101,-25.94786846889682,-48.90685626599003
br-376,102,-25.948063176244986,-48.90679386507383
br-376,103,-25.94825477800747,-48.90672246848463
br-376,104,-25.948442836667628,-48.9066426686629
br-376,105,-25.948626746665163,-48.90655335977005
br-376,106,-25.94880818164542,-48.90645911645993
br-376,107,-25.94898595867951,-48.90635810328147
br-376,108,-25.949159549991982,-48.906250053456986
br-376,109,-25.949329661775625,-48.90613685620435
br-376,110,-25.94949423590269,-48.90601552897084
br-376,111,-25.949655323472587,-48.9058895944515
br-376,112,-25.949809639026697,-48.90575559370276
br-376,113,-25.949960417934918,-48.90561752405777
br-376,114,-25.950106603889765,-48.90547456121315
br-376,115,-25.950251788082785,-48.90533058288385
br-376,116,-25.950396726540372,-48.90518635545287
br-376,117,-25.95054166499796,-48.90504212802188
br-376,118,-25.950686603455548,-48.904897900590896
br-376,119,-25.950831541913136,-48.90475367315991
br-376,120,-25.950976480370723,-48.90460944572893
br-376,121,-25.95112141882831,-48.90446521829794
br-376,122,-25.9512663572859,-48.90432099086696
br-376,123,-25.951411295743487,-48.90417676343598
br-376,124,-25.951556234201075,-48.90403253600499
br-376,125,-25.951701172658662,-48.903888308574004
br-376,126,-25.95184611111625,-48.90374408114302
