geometry,road_id
POINT (-47.9006702 -22.0034787),sao_carlos
POINT (-47.9007051 -22.0035744),sao_carlos
POINT (-47.9007628 -22.003654),sao_carlos
POINT (-47.9008298 -22.0037174),sao_carlos
POINT (-47.9009351 -22.0037908),sao_carlos
POINT (-47.9009783 -22.0038022),sao_carlos
POINT (-47.9010357 -22.0038144),sao_carlos
POINT (-47.9011403 -22.0038206),sao_carlos
POINT (-47.900489 -22.0026577),sao_carlos
POINT (-47.9004301 -22.002682),sao_carlos
POINT (-47.9003438 -22.0026974),sao_carlos
POINT (-47.9002612 -22.002689),sao_carlos
POINT (-47.9013482 -22.0038057),sao_carlos
POINT (-47.9014581 -22.0036751),sao_carlos
POINT (-47.9015574 -22.0035483),sao_carlos
POINT (-47.9016746 -22.0034192),sao_carlos
POINT (-47.9017425 -22.0033444),sao_carlos
POINT (-47.9014863 -22.0038131),sao_carlos
POINT (-47.9016499 -22.0038467),sao_carlos
POINT (-47.9017599 -22.0038741),sao_carlos
POINT (-47.9018652 -22.0039107),sao_carlos
POINT (-47.9019782 -22.0039813),sao_carlos
POINT (-47.9032739 -22.0054709),sao_carlos
POINT (-47.9037708 -22.0055508),sao_carlos
POINT (-47.9038656 -22.0055662),sao_carlos
POINT (-47.9039505 -22.0055627),sao_carlos
POINT (-47.9040839 -22.005539),sao_carlos
POINT (-47.9041705 -22.0055154),sao_carlos
POINT (-47.9042015 -22.0055019),sao_carlos
POINT (-47.9042262 -22.0054926),sao_carlos
POINT (-47.9042392 -22.0054913),sao_carlos
POINT (-47.9042634 -22.0054993),sao_carlos
POINT (-47.9042672 -22.005501),sao_carlos
POINT (-47.9042917 -22.0055123),sao_carlos
POINT (-47.904316 -22.0055216),sao_carlos
POINT (-47.9043997 -22.0056027),sao_carlos
POINT (-47.9044736 -22.0056486),sao_carlos
POINT (-47.8877805 -22.0132198),sao_carlos
POINT (-47.887759 -22.0140476),sao_carlos
POINT (-47.8877563 -22.0141278),sao_carlos
POINT (-47.8868441 -22.0132093),sao_carlos
POINT (-47.8867706 -22.0132085),sao_carlos
POINT (-47.8897625 -22.0132392),sao_carlos
POINT (-47.8889434 -22.0132292),sao_carlos
POINT (-47.8888798 -22.0132297),sao_carlos
POINT (-47.8887809 -22.0132304),sao_carlos
POINT (-47.8847986 -22.0141037),sao_carlos
POINT (-47.8856022 -22.0141107),sao_carlos
POINT (-47.8857868 -22.0141133),sao_carlos
POINT (-47.8878477 -22.014129),sao_carlos
POINT (-47.8883538 -22.0141358),sao_carlos
POINT (-47.8886551 -22.0141384),sao_carlos
POINT (-47.8886913 -22.0141369),sao_carlos
POINT (-47.8887575 -22.0141342),sao_carlos
POINT (-47.8877547 -22.0141968),sao_carlos
POINT (-47.8877367 -22.0149749),sao_carlos
POINT (-47.8877349 -22.0150514),sao_carlos
POINT (-47.8708034 -22.0103779),sao_carlos
POINT (-47.8708569 -22.0104485),sao_carlos
POINT (-47.870932 -22.0106054),sao_carlos
POINT (-47.8700606 -22.0092981),sao_carlos
POINT (-47.870036 -22.0092454),sao_carlos
POINT (-47.8699497 -22.0090834),sao_carlos
POINT (-47.8698388 -22.0088133),sao_carlos
POINT (-47.8697786 -22.0086822),sao_carlos
POINT (-47.8700949 -22.0093476),sao_carlos
POINT (-47.870586 -22.0100562),sao_carlos
POINT (-47.8706224 -22.0100955),sao_carlos
POINT (-47.8701266 -22.009268),sao_carlos
POINT (-47.8701679 -22.0092475),sao_carlos
POINT (-47.8705303 -22.0089677),sao_carlos
POINT (-47.8705624 -22.0089474),sao_carlos
POINT (-47.8706482 -22.0089081),sao_carlos
POINT (-47.8708576 -22.0088143),sao_carlos
POINT (-47.8960915 -22.0024558),sao_carlos
POINT (-47.8961301 -22.0022138),sao_carlos
POINT (-47.8962111 -22.001989),sao_carlos
POINT (-47.8963152 -22.0018214),sao_carlos
POINT (-47.8599374 -22.0371307),sao_carlos
POINT (-47.859856 -22.037179),sao_carlos
POINT (-47.8597713 -22.037207),sao_carlos
POINT (-47.8507427 -22.0368455),sao_carlos
POINT (-47.8507057 -22.0367621),sao_carlos
POINT (-47.8501153 -22.0355926),sao_carlos
POINT (-47.8495963 -22.0344377),sao_carlos
POINT (-47.8495748 -22.0343705),sao_carlos
POINT (-47.8495694 -22.0343096),sao_carlos
POINT (-47.8495413 -22.0337825),sao_carlos
POINT (-47.8430758 -22.0372422),sao_carlos
POINT (-47.8420271 -22.037374),sao_carlos
POINT (-47.8417709 -22.0373951),sao_carlos
POINT (-47.8413981 -22.0373976),sao_carlos
POINT (-47.8411232 -22.0373889),sao_carlos
POINT (-47.840981 -22.0373615),sao_carlos
POINT (-47.8408147 -22.0372994),sao_carlos
POINT (-47.8395166 -22.0367238),sao_carlos
POINT (-47.8379321 -22.0360061),sao_carlos
POINT (-47.8449346 -22.0369339),sao_carlos
POINT (-47.8454295 -22.0368643),sao_carlos
POINT (-47.8456602 -22.0368481),sao_carlos
POINT (-47.8459606 -22.0368469),sao_carlos
POINT (-47.8462797 -22.0368494),sao_carlos
POINT (-47.848379 -22.0368364),sao_carlos
POINT (-47.8818458 -22.0158759),sao_carlos
POINT (-47.8818524 -22.0150618),sao_carlos
POINT (-47.8818528 -22.0150097),sao_carlos
POINT (-47.8818536 -22.0149558),sao_carlos
POINT (-47.8746894 -22.0259696),sao_carlos
POINT (-47.8746681 -22.0259058),sao_carlos
POINT (-47.8744993 -22.0254006),sao_carlos
POINT (-47.8744813 -22.0253466),sao_carlos
POINT (-47.8720107 -22.0262388),sao_carlos
POINT (-47.8721785 -22.0264328),sao_carlos
POINT (-47.8722292 -22.0265495),sao_carlos
POINT (-47.8722593 -22.0266905),sao_carlos
POINT (-47.8722412 -22.0268041),sao_carlos
POINT (-47.8722165 -22.0268812),sao_carlos
POINT (-47.8721969 -22.0263198),sao_carlos
POINT (-47.872379 -22.0263589),sao_carlos
POINT (-47.8724806 -22.0263742),sao_carlos
